phase,architecture,dim,window,negative,start_lr,epochs,subsample_t,vocab_size,train_time_s,loss_start,loss_end,loss_drop,semantic_score,nn_score,analogy_score,sat_ratio,mean_top1_sim,top1_sim_std,saturation_penalty,model_tag
base,cbow,300,5,10,0.01,20,0.001,4163,32.52,0.693147,0.529257,0.16389,0.0,0.0,0.0,1.0,0.9999,0.0,0.8399,cbow_d300_w5_n10_lr0p01_ep20_ss1em03
base,cbow,300,5,15,0.01,20,0.001,4163,31.78,0.693147,0.317966,0.375181,0.0,0.0,0.0,1.0,1.0,0.0,0.84,cbow_d300_w5_n15_lr0p01_ep20_ss1em03
base,cbow,300,7,10,0.01,20,0.001,4163,30.38,0.693147,0.527142,0.166005,0.0,0.0,0.0,1.0,0.9999,0.0,0.8399,cbow_d300_w7_n10_lr0p01_ep20_ss1em03
base,cbow,300,7,15,0.01,20,0.001,4163,31.74,0.693147,0.314103,0.379044,0.0,0.0,0.0,1.0,1.0,0.0,0.84,cbow_d300_w7_n15_lr0p01_ep20_ss1em03
tuned,cbow,300,3,5,0.005,20,0.001,4163,26.42,0.693147,0.693145,2e-06,0.0,0.0,0.0,0.0,0.2146,0.0205,0.0,cbow_d300_w3_n5_lr0p005_ep20_ss1em03
tuned,cbow,300,3,5,0.005,20,0.0005,4163,22.05,0.693147,0.693146,1e-06,0.0,0.0,0.0,0.0,0.2156,0.0192,0.0,cbow_d300_w3_n5_lr0p005_ep20_ss5em04
tuned,cbow,300,3,5,0.005,40,0.0005,4163,44.0,0.693147,0.693136,1.1e-05,0.0,0.0,0.0,0.0,0.2815,0.022,0.0,cbow_d300_w3_n5_lr0p005_ep40_ss5em04
tuned,cbow,300,3,5,0.01,20,0.0005,4163,21.96,0.693147,0.693138,9e-06,0.0,0.0,0.0,0.0,0.2665,0.0268,0.0,cbow_d300_w3_n5_lr0p01_ep20_ss5em04
tuned,cbow,300,3,5,0.01,40,0.0005,4163,51.48,0.693147,0.689496,0.003651,0.0,0.0,0.0,1.0,0.9855,0.0024,0.8284,cbow_d300_w3_n5_lr0p01_ep40_ss5em04
tuned,cbow,300,5,5,0.005,20,0.001,4163,42.87,0.693147,0.693145,2e-06,0.0,0.0,0.0,0.0,0.2149,0.0206,0.0,cbow_d300_w5_n5_lr0p005_ep20_ss1em03
